Taxon,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
Crocodylus porosus,CN,FR,ID,1,,leather products (large),,T,C
Crocodylus porosus,CN,FR,ID,5,7,leather products (small),,T,C
Crocodylus porosus,CN,FR,ID,,87,skins,,T,C
Crocodylus porosus,CN,FR,ID,,1,skins,,T,R
Crocodylus porosus,CN,FR,PG,4,4,leather products (large),,T,C
Crocodylus porosus,CN,FR,PG,207,235.66,leather products (small),,T,C
Crocodylus porosus,CN,FR,PG,,2,leather products (small),,T,R
Crocodylus porosus,CN,FR,PG,43,81,leather products (small),,T,W
Crocodylus porosus,CN,FR,PG,,26,skins,,T,C
Crocodylus porosus,CN,FR,PG,15,8,skins,,T,W
Crocodylus porosus,CN,FR,US,,1,skins,,T,R
Crocodylus porosus,CN,GB,AU,9,1,leather products (small),,T,C
Crocodylus porosus,CN,GB,AU,29,10,leather products (small),,T,R
Crocodylus porosus,CN,GB,ID,,1,leather products (small),,T,W
Crocodylus porosus,CN,GB,PG,8,,leather products (small),,T,C
Crocodylus porosus,CN,IT,AU,,1,garments,,P,C
Crocodylus porosus,CN,IT,AU,4,14,garments,,T,C
Crocodylus porosus,CN,IT,AU,,12,garments,,T,R
Crocodylus porosus,CN,IT,AU,,2,leather products (large),,P,C
Crocodylus porosus,CN,IT,AU,,7,leather products (large),,P,R
Crocodylus porosus,CN,IT,AU,,56,leather products (small),,P,C
Crocodylus porosus,CN,IT,AU,,74,leather products (small),,P,R
Crocodylus porosus,CN,IT,AU,,3,leather products (small),,P,W
Crocodylus porosus,CN,IT,AU,10,55,leather products (small),,T,C
Crocodylus porosus,CN,IT,AU,27,90,leather products (small),,T,R
Crocodylus porosus,CN,IT,AU,,3,leather products (small),,T,W
Crocodylus porosus,CN,IT,AU,,1,skins,,T,R
Crocodylus porosus,CN,IT,ID,,2,leather products (large),,T,C
Crocodylus porosus,CN,IT,ID,,1,leather products (small),,P,C
Crocodylus porosus,CN,IT,ID,,22,leather products (small),,T,C
Crocodylus porosus,CN,IT,PG,,1,leather products (large),,P,C
Crocodylus porosus,CN,IT,PG,,9,leather products (small),,P,C
Crocodylus porosus,CN,IT,PG,1,2,leather products (small),,T,C
Crocodylus porosus,CN,IT,PG,1,2,leather products (small),,T,W
Crocodylus porosus,CN,JP,AU,,2,leather products (small),,P,C
Crocodylus porosus,CN,JP,AU,,1,leather products (small),,P,R
Crocodylus porosus,CN,JP,PG,,1,leather products (small),,P,C
Crocodylus porosus,CN,JP,PG,,1,leather products (small),,T,C
Crocodylus porosus,CN,JP,PG,890,890,skins,,T,C
Crocodylus porosus,CN,LU,AU,,3,leather products (small),,T,R
Crocodylus porosus,CN,MC,AU,,1,garments,,T,C
Crocodylus porosus,CN,MC,AU,,3,leather products (small),,P,C
Crocodylus porosus,CN,MC,AU,,1,leather products (small),,P,R
Crocodylus porosus,CN,MC,PG,,3,leather products (small),,P,C
Crocodylus porosus,CN,SG,AU,2023,23,skins,,T,C
Crocodylus porosus,CN,SG,AU,,2000,skin pieces,,T,C
Crocodylus porosus,CN,SG,ID,1,1,leather products (small),,T,C
Crocodylus porosus,CN,SG,ID,1,,skins,,E,C
Crocodylus porosus,CN,SG,ID,200,201,skins,,T,C
Crocodylus porosus,CN,SG,PG,8,,skins,,E,W
Crocodylus porosus,CN,SG,PG,400,408,skins,,T,W
Crocodylus porosus,CZ,AU,,2,,bodies,,P,W
Crocodylus porosus,DE,AE,AU,,2,leather products (small),,T,R
Crocodylus porosus,DE,AU,PG,58,,leather products (small),,T,C
Crocodylus porosus,DE,AU,,1,,derivatives,,P,R
Crocodylus porosus,DE,AU,,135,,leather products (small),,T,C
Crocodylus porosus,DE,AU,,127,,leather products (small),,T,R
Crocodylus porosus,DE,AU,,2,,skins,,P,R
Crocodylus porosus,DE,AU,,2,,skins,,P,W
Crocodylus porosus,DE,AU,,447,,skins,,T,R
Crocodylus porosus,DE,AU,,1,,skins,,T,W
Crocodylus porosus,DE,AU,,1,,skulls,,P,R
Crocodylus porosus,DE,AU,,2,,skulls,,P,W
Crocodylus porosus,DE,AU,,1,,skulls,,T,R
Crocodylus porosus,DE,AU,,39,,teeth,,T,C
Crocodylus porosus,DE,AU,,1,,trophies,,P,W
Crocodylus porosus,DE,CH,AU,14,,leather products (small),,T,C
Crocodylus porosus,DE,JP,PG,5,5,leather products (small),,T,C
Crocodylus porosus,DE,MC,AU,,1,leather products (small),,P,C
Crocodylus porosus,DE,SG,AU,80,80,skins,,T,R
Crocodylus porosus,DE,SG,PG,1,1,skins,,T,W
Crocodylus porosus,DK,AU,,67,,leather products (small),,T,W
Crocodylus porosus,DK,AU,,3.75,,oil,l,P,R
Crocodylus porosus,DK,AU,,107,,oil,l,T,R
Crocodylus porosus,DK,AU,,100,,oil,,T,D
Crocodylus porosus,DK,AU,,1,,oil,,T,R
Crocodylus porosus,DK,AU,,100,,oil,,T,W
Crocodylus porosus,EG,FR,AU,,1,garments,,T,R
Crocodylus porosus,EG,FR,AU,,4,leather products (small),,T,C
Crocodylus porosus,EG,FR,AU,,1,leather products (small),,T,R
Crocodylus porosus,EG,IT,AU,,1,leather products (small),,P,R
Crocodylus porosus,ES,AE,AU,1,2,leather products (small),,T,R
Crocodylus porosus,ES,CH,AU,2,,leather products (small),,T,C
Crocodylus porosus,ES,JP,ID,,1,leather products (small),,T,R
Crocodylus porosus,ES,MC,AU,,1,leather products (small),,P,C
Crocodylus porosus,FI,MC,AU,,1,leather products (small),,P,R
Crocodylus porosus,FR,AE,AU,3,4,leather products (small),,T,C
Crocodylus porosus,FR,AE,AU,1,1,leather products (small),,T,R
Crocodylus porosus,FR,AE,GN,1,2,leather products (small),,T,C
Crocodylus porosus,FR,AE,PG,1,,leather products (small),,T,C
Crocodylus porosus,FR,AE,PG,,1,leather products (small),,T,U
Crocodylus porosus,FR,AE,PH,,2,leather products (small),,T,D
Crocodylus porosus,FR,AE,TH,,1,leather products (small),,P,D
Crocodylus porosus,FR,AE,TH,,4,leather products (small),,T,D
Crocodylus porosus,FR,AE,TH,,1,leather products (small),,T,U
Crocodylus porosus,FR,AU,AU,3,,leather products (small),,T,C
Crocodylus porosus,FR,AU,AU,5,,leather products (small),,T,R
Crocodylus porosus,FR,AU,PG,6,,garments,,T,C
Crocodylus porosus,FR,AU,PG,17,,leather products (small),,T,C
Crocodylus porosus,FR,AU,,1,,bodies,,P,W
Crocodylus porosus,FR,AU,,39,,garments,,T,R
Crocodylus porosus,FR,AU,,3,,leather products (small),,T,C
Crocodylus porosus,FR,AU,,19637,,skins,,T,R
Crocodylus porosus,FR,CA,AU,2,,leather products (small),,T,C
Crocodylus porosus,FR,CA,AU,3,,leather products (small),,T,R
Crocodylus porosus,FR,CH,AU,5,,garments,,T,R
Crocodylus porosus,FR,CH,AU,67.5,,leather products (small),,T,C
Crocodylus porosus,FR,CH,AU,48,,leather products (small),,T,R
Crocodylus porosus,FR,CH,ID,2,,leather products (small),,T,C
Crocodylus porosus,FR,CH,PG,1,,leather products (large),,T,C
Crocodylus porosus,FR,CH,PG,32,,leather products (small),,T,C
Crocodylus porosus,FR,CH,PG,10,,leather products (small),,T,W
Crocodylus porosus,FR,CH,VN,1,,leather products (small),,T,C
Crocodylus porosus,FR,CN,AU,1.5,,carvings,,T,C
Crocodylus porosus,FR,CN,AU,1,,garments,,T,R
Crocodylus porosus,FR,CN,AU,1.66,,leather products (large),,T,C
Crocodylus porosus,FR,CN,AU,1,14,leather products (large),,T,R
Crocodylus porosus,FR,CN,AU,23,28,leather products (small),,T,C
Crocodylus porosus,FR,CN,AU,15,57,leather products (small),,T,R
Crocodylus porosus,FR,CN,PG,4,2,leather products (large),,T,C
Crocodylus porosus,FR,CN,PG,1,4,leather products (small),,T,C
Crocodylus porosus,FR,FR,AU,,4,leather products (small),,T,C
Crocodylus porosus,FR,HK,AU,4,,leather products (small),,T,C
Crocodylus porosus,FR,HK,AU,3,5,leather products (small),,T,R
Crocodylus porosus,FR,HK,PG,5,6,leather products (small),,T,C
Crocodylus porosus,FR,ID,,568,,skins,,T,C
Crocodylus porosus,FR,JP,AU,0.5,,carvings,,T,R
Crocodylus porosus,FR,JP,AU,0.33,1,leather products (large),,T,R
Crocodylus porosus,FR,JP,AU,14,3,leather products (small),,T,C
Crocodylus porosus,FR,JP,AU,17.5,9,leather products (small),,T,R
Crocodylus porosus,FR,JP,ID,1,8,leather products (small),,T,R
Crocodylus porosus,FR,JP,PG,,1,leather products (large),,T,C
Crocodylus porosus,FR,JP,PG,20,,leather products (small),,T,C
Crocodylus porosus,FR,JP,PG,1,,leather products (small),,T,W
Crocodylus porosus,FR,JP,PG,111,110,skins,,T,C
Crocodylus porosus,FR,JP,PG,26,,skins,,T,W
Crocodylus porosus,FR,KR,AU,4,,garments,,T,R
Crocodylus porosus,FR,KR,PG,7,,garments,,T,C
Crocodylus porosus,FR,KR,PG,3,,leather products (small),,Q,C
Crocodylus porosus,FR,KR,PG,1,,leather products (small),,T,C
Crocodylus porosus,FR,MC,AU,,1,leather products (small),,P,R
Crocodylus porosus,FR,MC,AU,2,4,leather products (small),,T,C
Crocodylus porosus,FR,MC,AU,,1,leather products (small),,T,R
Crocodylus porosus,FR,MC,PG,2,,leather products (small),,P,C
Crocodylus porosus,FR,MC,PG,,1,leather products (small),,T,C
Crocodylus porosus,FR,MC,PG,1,2,leather products (small),,T,W
Crocodylus porosus,FR,MO,AU,4,4,leather products (small),,T,C
Crocodylus porosus,FR,MX,AU,1,,leather products (small),,T,C
Crocodylus porosus,FR,MX,AU,1,,leather products (small),,T,R
Crocodylus porosus,FR,MY,AU,1,1,leather products (small),,T,R
Crocodylus porosus,FR,PG,,3474,,skins,,T,C
Crocodylus porosus,FR,PG,,74,,skins,,T,W
Crocodylus porosus,FR,QA,AU,,6,leather products (small),,T,C
Crocodylus porosus,FR,QA,AU,2,4,leather products (small),,T,R
Crocodylus porosus,FR,RU,AU,2,,leather products (small),,T,C
Crocodylus porosus,FR,SG,AU,,62,bodies,,T,C
Crocodylus porosus,FR,SG,AU,,250,bodies,,T,R
Crocodylus porosus,FR,SG,AU,2,3,leather products (small),,T,C
Crocodylus porosus,FR,SG,AU,110,118,skins,,T,C
Crocodylus porosus,FR,SG,AU,600,680,skins,,T,R
Crocodylus porosus,FR,SG,AU,87,62,skin pieces,,T,C
Crocodylus porosus,FR,SG,AU,191,250,skin pieces,,T,R
Crocodylus porosus,FR,SG,AU,21,,tails,,T,C
Crocodylus porosus,FR,SG,AU,137,,tails,,T,R
Crocodylus porosus,FR,SG,ID,,19,bodies,,T,C
